Time,Reading
2023-10-05 17:39:26,-23.1
2023-10-05 17:39:56,-23.2
2023-10-05 17:40:26,-24.7
2023-10-05 17:40:55,-23.1
2023-10-05 17:41:26,-23.4
2023-10-05 17:41:56,-23.1
2023-10-05 17:42:26,-24.9
2023-10-05 17:42:56,-24.9
2023-10-05 17:43:26,-23.2
2023-10-05 17:43:56,-25.0
2023-10-05 17:44:26,-24.9
2023-10-05 17:44:56,-24.9
2023-10-05 17:45:26,-25.0
2023-10-05 17:45:56,-24.6
2023-10-05 17:46:26,-23.4
2023-10-05 17:46:56,-23.6
2023-10-05 17:47:25,-23.7
2023-10-05 17:47:56,-23.7
2023-10-05 17:48:26,-23.9
2023-10-05 17:48:56,-25.0
2023-10-05 17:49:26,-23.6
2023-10-05 17:49:56,-23.6
2023-10-05 17:50:26,-24.4
2023-10-05 17:50:56,-24.2
2023-10-05 17:51:26,-23.8
2023-10-05 17:51:56,-23.7
2023-10-05 17:52:26,-25.4
2023-10-05 17:52:56,-25.4
2023-10-05 17:53:26,-25.3
2023-10-05 17:53:55,-25.3
2023-10-05 17:54:26,-25.0
2023-10-05 17:54:56,-23.8
2023-10-05 17:55:26,-23.8
2023-10-05 17:55:56,-23.9
2023-10-05 17:56:26,-24.7
2023-10-05 17:56:56,-24.5
2023-10-05 17:57:26,-24.4
2023-10-05 17:57:56,-24.2
2023-10-05 17:58:26,-24.3
2023-10-05 17:58:56,-25.4
2023-10-05 17:59:26,-24.7
2023-10-05 17:59:56,-24.0
2023-10-05 18:00:25,-24.8
2023-10-05 18:00:56,-25.0
2023-10-05 18:01:26,-24.8
2023-10-05 18:01:56,-25.1
2023-10-05 18:02:26,-24.6
2023-10-05 18:02:56,-24.1
2023-10-05 18:03:26,-24.1
2023-10-05 18:03:56,-25.1
2023-10-05 18:04:26,-17.5
2023-10-05 18:04:56,-16.4
2023-10-05 18:05:26,-16.4
2023-10-05 18:05:56,-16.7
2023-10-05 18:06:26,-16.7
2023-10-05 18:06:55,-16.0
2023-10-05 18:07:26,-16.9
2023-10-05 18:07:56,-17.1
2023-10-05 18:08:26,-16.7
2023-10-05 18:08:56,-16.5
2023-10-05 18:09:26,-16.4
2023-10-05 18:09:56,-16.6
2023-10-05 18:10:26,-16.5
2023-10-05 18:10:56,-17.2
2023-10-05 18:11:26,-17.2
2023-10-05 18:11:56,-16.8
2023-10-05 18:12:26,-16.8
2023-10-05 18:12:56,-16.7
2023-10-05 18:13:25,-16.6
2023-10-05 18:13:56,-16.2
2023-10-05 18:14:26,-16.1
2023-10-05 18:14:56,-15.9
2023-10-05 18:15:26,-16.0
2023-10-05 18:15:56,-16.5
2023-10-05 18:16:26,-16.4
2023-10-05 18:16:56,-16.6
2023-10-05 18:17:26,-16.0
2023-10-05 18:17:56,-15.9
2023-10-05 18:18:26,-15.8
2023-10-05 18:18:56,-15.3
2023-10-05 18:19:26,-15.3
2023-10-05 18:19:55,-15.4
2023-10-05 18:20:26,-15.5
2023-10-05 18:20:56,-15.4
2023-10-05 18:21:26,-15.0
2023-10-05 18:21:56,-15.1
2023-10-05 18:22:26,-14.7
2023-10-05 18:22:56,-14.7
2023-10-05 18:23:26,-14.8
2023-10-05 18:23:56,-14.5
2023-10-05 18:24:26,-14.9
2023-10-05 18:24:56,-14.2
2023-10-05 18:25:26,-14.6
2023-10-05 18:25:56,-14.5
2023-10-05 18:26:25,-14.6
2023-10-05 18:26:56,-14.7
2023-10-05 18:27:26,-13.9
2023-10-05 18:27:56,-13.8
2023-10-05 18:28:26,-13.4
2023-10-05 18:28:56,-14.3
2023-10-05 18:29:26,-13.3
2023-10-05 18:29:56,-12.8
2023-10-05 18:30:26,-8.8
2023-10-05 18:30:56,-10.3
2023-10-05 18:31:26,-11.4
2023-10-05 18:31:56,-11.8
2023-10-05 18:32:26,-12.2
2023-10-05 18:32:56,-12.4
2023-10-05 18:33:26,-12.3
2023-10-05 18:33:56,-12.5
2023-10-05 18:34:26,-12.3
2023-10-05 18:34:56,-12.2
2023-10-05 18:35:26,-13.0
2023-10-05 18:35:56,-14.7
2023-10-05 18:36:26,-13.0
2023-10-05 18:36:56,-12.3
2023-10-05 18:37:26,-11.9
2023-10-05 18:37:56,-11.8
2023-10-05 18:38:26,-11.7
2023-10-05 18:38:56,-11.7
2023-10-05 18:39:26,-11.7
2023-10-05 18:39:56,-11.9
2023-10-05 18:40:26,-12.1
2023-10-05 18:40:56,-12.2
2023-10-05 18:41:26,-12.5
2023-10-05 18:41:56,-12.6
2023-10-05 18:42:26,-12.8
2023-10-05 18:42:56,-13.0
2023-10-05 18:43:26,-13.2
2023-10-05 18:43:56,-13.3
2023-10-05 18:44:26,-13.5
2023-10-05 18:44:56,-13.7
2023-10-05 18:45:26,-13.8
2023-10-05 18:45:56,-14.0
2023-10-05 18:46:26,-15.3
2023-10-05 18:46:56,-46.8
2023-10-05 18:47:26,-14.6
2023-10-05 18:47:56,-14.8
2023-10-05 18:48:26,-15.1
2023-10-05 18:48:56,-15.4
2023-10-05 18:49:26,-46.8
2023-10-05 18:49:56,-1.2
2023-10-05 18:50:26,4.5
2023-10-05 18:50:56,-46.8
2023-10-05 18:51:26,-0.9
2023-10-05 18:51:56,-2.5
2023-10-05 18:52:26,-3.3
2023-10-05 18:52:56,-4.1
2023-10-05 18:53:26,-4.6
2023-10-05 18:53:56,-5.0
2023-10-05 18:54:26,-5.7
2023-10-05 18:54:56,-5.8
2023-10-05 18:55:25,2.9
2023-10-05 18:55:56,14.6
2023-10-05 18:56:26,20.4
2023-10-05 18:56:56,15.2
2023-10-05 18:57:26,14.5
2023-10-05 18:57:56,-46.8
2023-10-05 18:58:26,6.2
2023-10-05 18:58:56,5.6
2023-10-05 18:59:26,4.0
2023-10-05 18:59:56,3.0
2023-10-05 19:00:26,1.6
2023-10-05 19:00:56,-46.8
2023-10-05 19:01:26,-0.8
2023-10-05 19:01:55,-1.4
2023-10-05 19:02:26,-2.1
2023-10-05 19:02:56,-4.2
2023-10-05 19:03:26,-4.4
2023-10-05 19:03:56,-46.8
2023-10-05 19:04:26,-46.8
2023-10-05 19:04:56,-5.0
2023-10-05 19:05:26,-7.2
2023-10-05 19:05:56,-6.8
2023-10-05 19:06:26,-6.8
2023-10-05 19:06:56,-18.8
2023-10-05 19:07:26,-8.1
2023-10-05 19:07:56,-8.2
2023-10-05 19:08:25,-8.6
2023-10-05 19:08:56,-8.9
2023-10-05 19:09:26,-9.3
2023-10-05 19:09:56,-9.7
2023-10-05 19:10:26,-10.0
2023-10-05 19:10:56,-10.3
2023-10-05 19:11:26,-10.6
2023-10-05 19:11:56,-10.9
2023-10-05 19:12:26,-11.2
2023-10-05 19:12:56,-11.4
2023-10-05 19:13:26,-11.6
2023-10-05 19:13:56,-11.8
2023-10-05 19:14:26,-12.1
2023-10-05 19:14:55,-12.3
2023-10-05 19:15:26,-12.5
2023-10-05 19:15:56,-12.6
2023-10-05 19:16:26,-12.8
2023-10-05 19:16:56,-13.0
2023-10-05 19:17:26,-13.2
2023-10-05 19:17:56,-13.4
2023-10-05 19:18:26,-13.5
2023-10-05 19:18:56,-13.8
2023-10-05 19:19:26,-14.0
2023-10-05 19:19:56,-13.9
2023-10-05 19:20:26,-14.3
2023-10-05 19:20:56,-14.2
2023-10-05 19:21:25,-14.3
2023-10-05 19:21:56,-14.5
2023-10-05 19:22:26,-14.6
2023-10-05 19:22:56,-14.7
2023-10-05 19:23:26,-14.9
2023-10-05 19:23:56,-15.0
2023-10-05 19:24:26,-15.1
2023-10-05 19:24:56,-15.4
2023-10-05 19:25:26,-15.4
2023-10-05 19:25:56,-15.4
2023-10-05 19:26:26,-15.5
2023-10-05 19:26:56,-14.1
2023-10-05 19:27:26,-14.2
2023-10-05 19:27:55,-14.3
2023-10-05 19:28:26,-14.3
2023-10-05 19:28:56,-14.4
2023-10-05 19:29:26,-14.4
2023-10-05 19:29:56,-14.5
2023-10-05 19:30:26,-14.6
2023-10-05 19:30:56,-14.7
2023-10-05 19:31:26,-14.8
2023-10-05 19:31:56,-14.8
2023-10-05 19:32:26,-15.0
2023-10-05 19:32:56,-15.1
2023-10-05 19:33:26,-15.1
2023-10-05 19:33:56,-15.3
2023-10-05 19:34:25,-15.3
2023-10-05 19:34:56,-15.4
2023-10-05 19:35:26,-15.5
2023-10-05 19:35:56,-15.6
2023-10-05 19:36:26,-15.6
2023-10-05 19:36:56,-15.7
2023-10-05 19:37:26,-15.8
2023-10-05 19:37:56,-15.8
2023-10-05 19:38:26,-15.9
2023-10-05 19:38:56,-16.0
2023-10-05 19:39:26,-16.1
2023-10-05 19:39:56,-16.1
2023-10-05 19:40:26,-16.2
2023-10-05 19:40:56,-16.2
2023-10-05 19:41:26,-16.3
2023-10-05 19:41:56,-16.4
2023-10-05 19:42:26,-16.4
2023-10-05 19:42:56,-16.5
2023-10-05 19:43:26,-16.6
2023-10-05 19:43:56,-16.6
2023-10-05 19:44:26,-16.6
2023-10-05 19:44:56,-16.7
2023-10-05 19:45:26,-16.8
2023-10-05 19:45:56,-16.8
2023-10-05 19:46:26,-16.9
2023-10-05 19:46:56,-15.2
2023-10-05 19:47:26,-15.1
2023-10-05 19:47:56,-15.2
2023-10-05 19:48:26,-15.2
2023-10-05 19:48:56,-15.2
2023-10-05 19:49:26,-15.3
2023-10-05 19:49:56,-15.4
2023-10-05 19:50:26,-15.5
2023-10-05 19:50:56,-15.6
2023-10-05 19:51:26,-15.7
2023-10-05 19:51:56,-15.8
2023-10-05 19:52:26,-15.9
2023-10-05 19:52:56,-16.0
2023-10-05 19:53:26,-16.1
2023-10-05 19:53:56,-16.2
2023-10-05 19:54:26,-16.3
2023-10-05 19:54:56,-16.3
2023-10-05 19:55:26,-16.4
2023-10-05 19:55:56,-16.5
2023-10-05 19:56:26,-16.6
